;times;auc;iauc;model;fold
24;25;0.705361276;0.722987056;deepsurv;2
25;26;0.690650511;0.722987056;deepsurv;2
26;27;0.68514571;0.722987056;deepsurv;2
27;28;0.682478326;0.722987056;deepsurv;2
28;29;0.675885647;0.722987056;deepsurv;2
29;30;0.670732003;0.722987056;deepsurv;2
30;31;0.687455159;0.722987056;deepsurv;2
31;32;0.691796853;0.722987056;deepsurv;2
32;33;0.703668345;0.722987056;deepsurv;2
33;34;0.701368102;0.722987056;deepsurv;2
34;35;0.696254803;0.722987056;deepsurv;2
35;36;0.72123905;0.722987056;deepsurv;2
36;37;0.723142138;0.722987056;deepsurv;2
37;38;0.731436624;0.722987056;deepsurv;2
38;39;0.716587917;0.722987056;deepsurv;2
39;40;0.716811097;0.722987056;deepsurv;2
40;41;0.72832378;0.722987056;deepsurv;2
41;43;0.739243578;0.722987056;deepsurv;2
42;50;0.769642068;0.722987056;deepsurv;2
43;57;0.762045155;0.722987056;deepsurv;2
44;64;0.725541134;0.722987056;deepsurv;2
45;71;0.754588586;0.722987056;deepsurv;2
0;1;0.756745273;0.816552498;deepsurv;3
1;2;0.750952937;0.816552498;deepsurv;3
2;3;0.755272805;0.816552498;deepsurv;3
3;4;0.77348508;0.816552498;deepsurv;3
4;5;0.769570248;0.816552498;deepsurv;3
5;6;0.76712039;0.816552498;deepsurv;3
6;7;0.790571562;0.816552498;deepsurv;3
7;8;0.784392493;0.816552498;deepsurv;3
8;9;0.781001816;0.816552498;deepsurv;3
9;10;0.787582009;0.816552498;deepsurv;3
10;11;0.816035795;0.816552498;deepsurv;3
11;12;0.823154029;0.816552498;deepsurv;3
12;13;0.831501294;0.816552498;deepsurv;3
13;14;0.839654487;0.816552498;deepsurv;3
14;15;0.828762887;0.816552498;deepsurv;3
15;16;0.82263123;0.816552498;deepsurv;3
16;17;0.823155621;0.816552498;deepsurv;3
17;18;0.831563687;0.816552498;deepsurv;3
18;19;0.821171615;0.816552498;deepsurv;3
19;20;0.829655101;0.816552498;deepsurv;3
20;21;0.823193328;0.816552498;deepsurv;3
21;22;0.821839783;0.816552498;deepsurv;3
22;23;0.81908976;0.816552498;deepsurv;3
23;24;0.822493344;0.816552498;deepsurv;3
24;25;0.811921883;0.816552498;deepsurv;3
25;26;0.824668638;0.816552498;deepsurv;3
26;27;0.822253608;0.816552498;deepsurv;3
27;28;0.81785662;0.816552498;deepsurv;3
28;29;0.808704214;0.816552498;deepsurv;3
29;30;0.796883528;0.816552498;deepsurv;3
30;31;0.798186643;0.816552498;deepsurv;3
31;32;0.790508516;0.816552498;deepsurv;3
32;33;0.781043209;0.816552498;deepsurv;3
33;34;0.821247349;0.816552498;deepsurv;3
34;35;0.821247349;0.816552498;deepsurv;3
35;36;0.823343632;0.816552498;deepsurv;3
36;37;0.81591419;0.816552498;deepsurv;3
37;38;0.810628793;0.816552498;deepsurv;3
38;39;0.808365937;0.816552498;deepsurv;3
39;40;0.869773193;0.816552498;deepsurv;3
40;41;0.869773193;0.816552498;deepsurv;3
41;43;0.896367551;0.816552498;deepsurv;3
